Entity,Code,Year,"Crude marriage rate (marriages per 1,000 people)"
Argentina,ARG,2010,3
Argentina,ARG,2011,3.1
Argentina,ARG,2012,3.2
Argentina,ARG,2013,2.9
Argentina,ARG,2014,2.8
Argentina,ARG,2015,2.8
Argentina,ARG,2016,2.7
Argentina,ARG,2017,2.9
Argentina,ARG,2018,2.8
Australia,AUS,1970,9.3
Australia,AUS,1980,7.4
Australia,AUS,1981,7.6
Australia,AUS,1982,7.7
Australia,AUS,1983,7.5
Australia,AUS,1984,7
Australia,AUS,1985,7.3
Australia,AUS,1986,7.2
Australia,AUS,1987,7
Australia,AUS,1988,7.1
Australia,AUS,1989,7
Australia,AUS,1990,6.9
Australia,AUS,1991,6.6
Australia,AUS,1992,6.6
Australia,AUS,1993,6.4
Australia,AUS,1994,6.2
Australia,AUS,1995,6.1
Australia,AUS,1996,5.8
Australia,AUS,1997,5.8
Australia,AUS,1998,5.9
Australia,AUS,1999,6
Australia,AUS,2000,5.9
Australia,AUS,2001,5.3
Australia,AUS,2002,5.4
Australia,AUS,2003,5.3
Australia,AUS,2004,5.5
Australia,AUS,2005,5.4
Australia,AUS,2006,5.5
Australia,AUS,2007,5.5
Australia,AUS,2008,5.5
Australia,AUS,2009,5.5
Australia,AUS,2010,5.4
Australia,AUS,2011,5.4
Australia,AUS,2012,5.4
Australia,AUS,2013,5.1
Australia,AUS,2014,5.2
Australia,AUS,2015,4.8
Australia,AUS,2016,4.9
Australia,AUS,2017,4.6
Australia,AUS,2018,4.8
Australia,AUS,2019,4.5
Australia,AUS,2020,3.1
Austria,AUT,1960,8.3
Austria,AUT,1961,8.5
Austria,AUT,1962,8.4
Austria,AUT,1963,8.1
Austria,AUT,1964,8
Austria,AUT,1965,7.8
Austria,AUT,1966,7.6
Austria,AUT,1967,7.6
Austria,AUT,1968,7.6
Austria,AUT,1969,7.3
Austria,AUT,1970,7.1
Austria,AUT,1971,6.4
Austria,AUT,1972,7.6
Austria,AUT,1973,6.5
Austria,AUT,1974,6.5
Austria,AUT,1975,6.1
Austria,AUT,1976,6
Austria,AUT,1977,6
Austria,AUT,1978,5.9
Austria,AUT,1979,6
Austria,AUT,1980,6.2
Austria,AUT,1981,6.3
Austria,AUT,1982,6.3
Austria,AUT,1983,7.4
Austria,AUT,1984,6.1
Austria,AUT,1985,5.9
Austria,AUT,1986,6.1
Austria,AUT,1987,10.1
Austria,AUT,1988,4.7
Austria,AUT,1989,5.6
Austria,AUT,1990,5.9
Austria,AUT,1991,5.7
Austria,AUT,1992,5.8
Austria,AUT,1993,5.7
Austria,AUT,1994,5.5
Austria,AUT,1995,5.4
Austria,AUT,1996,5.3
Austria,AUT,1997,5.2
Austria,AUT,1998,4.9
Austria,AUT,1999,4.9
Austria,AUT,2000,4.9
Austria,AUT,2001,4.3
Austria,AUT,2002,4.5
Austria,AUT,2003,4.6
Austria,AUT,2004,4.7
Austria,AUT,2005,4.8
Austria,AUT,2006,4.5
Austria,AUT,2007,4.3
