Entity,Year,Average annual working hours per worker,Average years of schooling,Gini coefficient,990179-annotations,"GDP per capita, PPP (constant 2021 international $)",Gender Development Index,Human Development Index,Life expectancy - Sex: total - Age: 0 - Type: period,"Crude marriage rate (marriages per 1,000 people)",Urban population (% of total population),"Unemployment, total (% of total labor force) (modeled ILO estimate)"
Argentina,2010,1751.7655,10.59964,,,28056.258,0.999,0.834,75.68,3.0,90.849,7.714
Argentina,2011,1750.9741,10.69979,,,29425.76,0.993,0.842,76.0998,3.1,90.99,7.18
Argentina,2012,1726.2584,10.78507,,,28825.967,1.0,0.844,75.8024,3.2,91.121,7.217
Argentina,2013,1714.8711,10.8946,,,29227.66,0.999,0.846,75.8292,2.9,91.249,7.1
Argentina,2014,1695.364,10.90851,,,28200.814,0.996,0.847,76.2678,2.8,91.377,7.268
Argentina,2015,1691.5363,10.91755,,,28669.207,0.998,0.85,76.5995,2.8,91.503,7.58
Argentina,2016,1691.5363,10.92819,,,27802.105,0.994,0.848,76.105,2.7,91.627,8.083
Argentina,2017,1691.5363,11.016445,,,28334.904,0.994,0.853,76.5434,2.9,91.749,8.347
Australia,2010,1769.3094,12.03444,0.34656727,,51811.78,0.963,0.924,82.0132,5.4,85.182,5.214
Australia,2011,1768.6494,12.11584,,,52326.766,0.965,0.927,82.0911,5.4,85.3,5.083
Australia,2012,1759.5193,12.29574,,,53435.18,0.961,0.931,82.2966,5.4,85.402,5.225
Australia,2013,1755.8271,12.01886,,,53890.105,0.962,0.929,82.5511,5.1,85.502,5.663
Australia,2014,1747.937,12.167,0.34398198,,54470.16,0.961,0.931,82.5182,5.2,85.602,6.078
Australia,2015,1747.009,12.24564,,,54867.773,0.964,0.933,82.605,4.8,85.701,6.055
Australia,2016,1734.215,12.35211,0.33685225,,55507.977,0.965,0.936,82.8014,4.9,85.8,5.711
Australia,2017,1731.4943,12.42234,,,55846.03,0.966,0.937,82.7184,4.6,85.904,5.592
Austria,2010,1665.8439,11.71488,0.3025161,,60380.14,0.97,0.903,80.4634,4.5,57.399,4.883
Austria,2011,1671.6877,11.71115,0.30801,,61938.617,0.971,0.907,80.8281,4.3,57.115,4.637
Austria,2012,1647.8529,11.75163,0.30475533,,62044.215,0.97,0.909,80.8407,4.6,57.147,4.909
Austria,2013,1632.0676,11.78754,0.30752888,,61524.96,0.965,0.907,81.078,4.3,57.336,5.367
Austria,2014,1621.5658,12.0145,0.3053535,,61507.38,0.966,0.911,81.39,4.4,57.526,5.674
Austria,2015,1598.8944,12.07699,0.30530685,,61614.56,0.964,0.91,81.1592,5.1,57.715,5.802
Austria,2016,1609.3523,12.11466,0.3079501,,62242.336,0.968,0.913,81.5922,5.1,57.905,6.064
Austria,2017,1613.0519,12.15912,0.2973688,,63216.0,0.966,0.914,81.6387,5.1,58.094,5.561
Belgium,2010,1545.848,11.41578,0.28374815,,57385.035,0.967,0.913,80.04,3.9,97.651,8.293
Belgium,2011,1559.6238,11.46987,0.2806043,,57737.16,0.966,0.914,80.3664,3.7,97.698,7.14
Belgium,2012,1559.9052,11.49961,0.27490476,,57504.03,0.967,0.915,80.2604,3.8,97.744,7.542
Belgium,2013,1558.0079,11.53951,0.27668843,,57408.477,0.966,0.917,80.4668,3.4,97.789,8.425
Belgium,2014,1555.2025,11.64029,0.28134006,,58163.266,0.968,0.922,81.0802,3.6,97.833,8.523
Belgium,2015,1544.61,11.89404,0.27729303,,58679.684,0.968,0.924,80.8889,4.0,97.876,8.482
Belgium,2016,1545.8151,11.98532,0.2758073,,59080.15,0.97,0.927,81.2647,3.9,97.919,7.83
Belgium,2017,1544.269,12.23693,0.27387637,,59720.76,0.969,0.931,81.3624,3.9,97.961,7.086
Bulgaria,2010,1644.8379,10.72172,0.3565347,,21888.504,0.991,0.79,73.814,3.3,72.302,10.279
Bulgaria,2011,1643.5928,10.78185,0.34275046,,22489.762,0.991,0.794,74.1693,2.9,72.638,11.26
Bulgaria,2012,1644.4498,10.89634,0.36011046,,22789.791,0.991,0.798,74.3373,2.9,72.975,12.27
Bulgaria,2013,1644.9795,11.0063,0.36570963,,22793.305,0.992,0.804,74.8277,3.0,73.313,12.941
Bulgaria,2014,1644.059,11.05153,0.37415925,,23140.871,0.992,0.807,74.4664,3.4,73.651,11.424
Bulgaria,2015,1644.3853,11.18832,0.38564444,,24080.256,0.994,0.809,74.6208,3.9,73.99,9.143
Bulgaria,2016,1643.5475,11.23244,0.40589708,,24983.693,0.994,0.81,74.8271,3.8,74.329,7.575
Bulgaria,2017,1643.5475,11.2427,0.40378964,,25857.916,0.994,0.81,74.7977,4.0,74.669,6.164
Chile,2010,2070.0,9.85244,,,24125.287,0.955,0.813,79.0954,3.5,87.074,8.547
Chile,2011,2047.0,9.54413,0.46868134,,25375.229,0.96,0.816,79.2357,3.8,87.132,7.492
Chile,2012,2024.0,9.776546,,,26679.916,0.96,0.824,79.2211,3.7,87.189,6.79
Chile,2013,2015.0,10.00896,0.46823916,,27300.996,0.963,0.837,79.5509,3.5,87.246,6.361
Chile,2014,1990.0,10.132435,,,27514.764,0.963,0.841,79.7137,3.6,87.303,6.761
Chile,2015,1988.0,10.25591,0.45343325,,27821.197,0.964,0.846,80.0079,3.4,87.36,6.605
Chile,2016,1974.0,10.423215,,,27968.604,0.962,0.851,80.2949,3.4,87.422,6.926
Chile,2017,1974.0,10.59052,0.4526995,,27902.846,0.966,0.854,80.6096,3.3,87.49,7.29
